name,pos,hand len,hand wid,ht,wt,wingspan
Melvin Frazier,SF-SG,9.50,9.50,76.5,198.2,85.75
Shai Gilgeous-Alexander,PG,9.00,9.00,76.5,180.0,83.5
Devonte Graham,PG,8.50,9.50,72.25,186.4,78.25
Isaac Haas,C,10.00,10.50,85.25,303.0,89.0
Devon Hall,SG,8.50,10.00,76.25,206.4,79.75
Jaylen Hands,PG,8.00,8.00,73.5,179.0,77.5
Kevin Hervey,PF,9.25,10.25,78.5,211.6,87.5
Aaron Holiday,PG,8.75,8.50,71.75,187.0,79.5
Kevin Huerter,SG,8.25,8.50,78.25,194.0,79.5
Jaren Jackson,PF-C,10.00,10.00,81.75,236.0,89.25
Justin Jackson,PF,9.00,9.50,78.0,229.4,87.0
Alize Johnson,PF,8.50,9.75,79.25,216.6,80.75
George King,SF-SG,9.00,10.25,76.75,218.6,83.5
Kevin Knox,SF,8.75,9.25,79.75,212.6,83.75
Sagaba Konate,C,9.25,10.00,78.5,246.0,84.0
Caleb Martin,SF-SG,8.50,8.75,76.75,195.8,82.0
Cody Martin,SG-SF,8.50,9.00,76.75,188.6,82.25
Yante Maten,PF-C,9.25,10.00,79.25,246.2,84.5
Brandon McCoy,C,9.75,9.50,83.5,250.4,86.0
DeAnthony Melton,SG-PG,8.50,9.50,74.25,193.2,80.5
Chimezie Metu,PF-C,9.00,9.25,80.5,219.6,84.5
Shake Milton,SG-PG,8.75,9.50,76.5,207.2,84.75
Sviatoslav Mykhailiuk,SG-SF,8.25,9.50,78.5,211.6,76.75
Malik Newman,SG,8.50,9.50,74.5,189.2,77.5
Josh Okogie,SG,9.00,9.75,75.0,210.8,84.0
Theo Pinson,SG-SF,9.00,9.00,77.0,211.2,82.75
Jontay Porter,C-PF,8.75,9.50,82.0,236.0,84.25
Michael Porter,SF-PF,8.75,9.25,81.5,211.0,84.25
Billy Preston,PF,9.25,9.50,80.75,222.4,86.0
Jerome Robinson,SG,9.00,10.00,76.0,188.4,79.25
Collin Sexton,PG,8.25,8.50,72.5,183.0,79.25
Landry Shamet,PG,8.00,9.00,76.0,188.6,78.75
Anfernee Simons,SG-PG,8.75,9.00,74.25,183.2,81.25
Zhaire Smith,SF-SG,8.75,8.25,74.75,198.6,81.75
Ray Spalding,PF,9.25,9.00,81.0,215.4,88.75
Omari Spellman,PF-C,9.00,9.00,80.0,253.8,86.0
Khyri Thomas,SG,8.75,9.25,74.5,198.8,82.5
Gary Trent,SG,8.50,9.50,76.25,204.2,80.75
Allonzo Trier,SG,8.25,10.50,75.75,198.0,78.75
Moritz Wagner,C-PF,9.00,10.75,82.5,241.4,84.0
Lonnie Walker,SG,9.00,9.50,75.75,196.2,82.25
PJ Washington,PF,9.00,10.25,78.5,223.0,86.5
Austin Wiley,C,9.75,10.25,80.25,249.4,89.0
Kris Wilkes,SF,8.75,9.25,78.5,205.0,82.25
Kenrich Williams,SF,8.50,9.75,78.0,200.4,79.25
Trae Young,PG,8.00,9.25,72.5,177.8,75.0
Edrice Adebayo,PF-C,9.50,8.75,80.75,242.6,86.75
Rawle Alkins,SG-SF,8.75,10.00,74.5,222.6,80.75
Jarrett Allen,C,9.50,10.50,81.0,233.6,89.25
Kadeem Allen,PG,8.50,8.75,73.0,192.4,81.25
Ike Anigbogu,C,9.50,10.00,80.5,252.2,90.25
OG Anunoby,SF,9.25,9.50,78.25,232.4,86.25
Jamel Artis,SG-SF,9.25,9.75,77.5,213.2,82.0
Dwayne Bacon,SG-SF,8.75,10.00,76.75,221.6,82.0
V.J. Beachem,SG-SF,8.50,9.00,78.25,193.4,82.25
Jordan Bell,PF,9.25,9.50,79.0,223.6,83.75
Jaron Blossomgame,SF,8.75,10.25,77.75,218.6,82.0
Chris Boucher,PF,9.25,10.50,80.0,182.2,88.0
Tony Bradley,C,9.50,9.50,81.25,248.8,89.0
Isaiah Briscoe,PG,9.00,9.25,73.25,222.4,81.0
Dillon Brooks,SG-SF,8.25,9.25,77.0,220.2,78.0
Thomas Bryant,PF-C,9.50,10.25,81.5,247.8,90.0
John Collins,PF,9.00,10.00,80.25,225.2,83.25
Zach Collins,PF-C,8.75,9.25,82.25,232.2,85.0
Hamidou Diallo,SG-SF,8.50,9.50,75.75,197.4,83.25
Tyler Dorsey,SG,8.50,9.25,75.0,182.6,77.25
Damyean Dotson,SG-SF,8.50,9.25,76.5,205.2,81.0
PJ Dozier,SG,8.50,9.50,77.25,200.6,83.0
Jawun Evans,PG,8.00,7.75,70.75,185.2,77.5
Terrance Ferguson,SG-SF,8.50,10.00,77.5,184.4,80.75
De?Aaron Fox,PG,8.50,8.50,74.0,169.6,78.5
Harry Giles,PF,9.50,10.75,81.25,232.0,87.25
Josh Hart,SG-SF,8.50,9.50,75.75,209.2,80.25
Nigel Hayes,PF,8.75,10.00,78.25,254.2,87.25
Isaiah Hicks,PF,8.75,9.75,79.25,233.4,84.5
Wesley Iwundu,SG-SF,8.75,9.50,77.5,193.4,85.0
Frank Jackson,PG,8.25,9.00,74.0,201.6,79.5
